School,Is campus?,Count?,Members,Founded,Created via merge,Foundational org begins,Organizing begins,Authorization card signing begin,Voted to affiliate,NLRB certified,Link,Affiliation,Notes,Type,Latitude (via Mapbox),Longitude (via Mapbox),City (via GPT),County (via GPT),State (via GPT),Living wage (state),Latitude,Longitude
American University,,,not on site,not on site,not on site,not on site,not on site,not on site,not on site,not on site,seiu500.org/augrads,SEIU,Local 500,Private,,,"Washington, D.C.","American University is located in Washington, D.C., which is located in the District of Columbia.",District of Columbia,$23.13,38.9380,-77.0889
Arizona State University,,,not on site,not on site,not on site,not on site,not on site,not on site,not on site,not on site,ucwarizona.org,UCW,part of same union as UA,Public,,,Tempe,Maricopa,Arizona,$17.43,33.416893,-111.932727
University of Arizona,,,not on site,not on site,not on site,not on site,not on site,not on site,not on site,not on site,ucwarizona.org,UCW,part of same union as ASU,Public,,,Tucson,Pima,Arizona,$17.43,32.229585,-110.953811
Boston College,,,not on site,not on site,not on site,not on site,2015,2016,,2017,bcgradunion.com,UAW,,Private,,,Boston,Suffolk,Massachusetts,$21.88,42.3358655,-71.1694295
Boston University,,,3000,not on site,not on site,not on site,2016,not on site,2021,not on site,bugradworkers.org,SEIU,,Private,,,Boston,Suffolk,Massachusetts,$21.88,42.350692,-71.1063435
Brandeis University,,,not on site,not on site,not on site,not on site,not on site,not on site,not on site,not on site,no website,SEIU,Local 509,Private,,,Waltham,Norfolk,Massachusetts,$21.88,42.366078,-71.259119
Brown University,,,not on site,not on site,not on site,2014,not on site,not on site,not on site,not on site,glounion.org,AFT,,Private,,,Providence,Providence,Rhode Island,$17.80,41.8261575,-71.403962
Central Michigan University,,,not on site,not on site,not on site,not on site,2009,not on site,not on site,not on site,cmugsu.org,AFT,Local 6522,Public,,,Mount Pleasant,Isabella,Michigan,$16.36,43.5891095,-84.77563950000001
City University of New York (CUNY),System,"x19 (6 community colleges not on this list, too)",30000 (includes faculty/staff),not on site,1972,not on site,not on site,not on site,not on site,not on site,psc-cuny.org,AFT,"""The Professional Staff Congress (PSC) is the labor union representing some 27,000 CUNY faculty, staff, and graduate student workers.""",Public,,,New York,New York,New York,$21.99,40.771234,-73.947933
Baruch College,CUNY,,30000 (includes faculty/staff),not on site,1972,not on site,not on site,not on site,not on site,not on site,psc-cuny.org,AFT,,,,,New York,New York,New York,$21.99,40.740397,-73.98406
The City College,CUNY,,30000 (includes faculty/staff),not on site,1972,not on site,not on site,not on site,not on site,not on site,psc-cuny.org,AFT,,,,,New York,New York,New York,$21.99,40.819952,-73.949274
Graduate Center,CUNY,,30000 (includes faculty/staff),not on site,1972,not on site,not on site,not on site,not on site,not on site,psc-cuny.org,AFT,,,,,New York,New York,New York,$21.99,40.748540000000006,-73.9838295
Graduate School of Public Health & Health Policy,CUNY,,30000 (includes faculty/staff),not on site,1972,not on site,not on site,not on site,not on site,not on site,psc-cuny.org,AFT,,,,,New York,New York,New York,$21.99,40.442659,-79.959196
Hunter College,CUNY,,30000 (includes faculty/staff),not on site,1972,not on site,not on site,not on site,not on site,not on site,psc-cuny.org,AFT,,,,,New York,New York,New York,$21.99,40.767824,-73.964216
John Jay College of Criminal Justice,CUNY,,30000 (includes faculty/staff),not on site,1972,not on site,not on site,not on site,not on site,not on site,psc-cuny.org,AFT,,,,,New York,New York,New York,$21.99,40.770316,-73.988378
Macaulay Honors College,CUNY,,30000 (includes faculty/staff),not on site,1972,not on site,not on site,not on site,not on site,not on site,psc-cuny.org,AFT,,,,,New York,New York,New York,$21.99,40.7740085,-73.9801955
Newmark Graduate School of Journalism,CUNY,,30000 (includes faculty/staff),not on site,1972,not on site,not on site,not on site,not on site,not on site,psc-cuny.org,AFT,,,,,New York,New York,New York,$21.99,40.807413,-73.963673
School of Labor and Urban Studies,CUNY,,30000 (includes faculty/staff),not on site,1972,not on site,not on site,not on site,not on site,not on site,psc-cuny.org,AFT,,,,,New York,New York,New York,$21.99,40.7551,-73.9817
School of Medicine,CUNY,,30000 (includes faculty/staff),not on site,1972,not on site,not on site,not on site,not on site,not on site,psc-cuny.org,AFT,,,,,New York,Allegheny,New York,$21.99,32.874722,-117.236052
School of Professional Studies,CUNY,,30000 (includes faculty/staff),not on site,1972,not on site,not on site,not on site,not on site,not on site,psc-cuny.org,AFT,,,,,New York,New York,New York,$21.99,40.734436,-73.993801
Lehman College,CUNY,,30000 (includes faculty/staff),not on site,1972,not on site,not on site,not on site,not on site,not on site,psc-cuny.org,AFT,,,,,New York,Bronx,New York,$21.99,40.873055,-73.8937945
Brooklyn College,CUNY,,30000 (includes faculty/staff),not on site,1972,not on site,not on site,not on site,not on site,not on site,psc-cuny.org,AFT,,,,,New York,Kings,New York,$21.99,40.63089,-73.954151
College of Technology,CUNY,,30000 (includes faculty/staff),not on site,1972,not on site,not on site,not on site,not on site,not on site,psc-cuny.org,AFT,,,,,New York,Harris,New York,$21.99,44.6029,-75.1856
Medgar Evers College,CUNY,,30000 (includes faculty/staff),not on site,1972,not on site,not on site,not on site,not on site,not on site,psc-cuny.org,AFT,,,,,New York,Kings,New York,$21.99,40.666404,-73.956944
College of Staten Island,CUNY,,30000 (includes faculty/staff),not on site,1972,not on site,not on site,not on site,not on site,not on site,psc-cuny.org,AFT,,,,,New York,Richmond,New York,$21.99,40.6010105,-74.14918800000001
Queens College,CUNY,,30000 (includes faculty/staff),not on site,1972,not on site,not on site,not on site,not on site,not on site,psc-cuny.org,AFT,,,,,New York,Queens,New York,$21.99,40.736579000000006,-73.81690449999999
School of Law,CUNY,,30000 (includes faculty/staff),not on site,1972,not on site,not on site,not on site,not on site,not on site,psc-cuny.org,AFT,,,,,New York,Kings,New York,$21.99,47.609447,-122.317547
York College,CUNY,,30000 (includes faculty/staff),not on site,1972,not on site,not on site,not on site,not on site,not on site,psc-cuny.org,AFT,,,,,New York,York,New York,$21.99,39.946639000000005,-76.7295795
Clark University,,,not on site,not on site,not on site,not on site,2020,not on site,not on site,not on site,https://linktr.ee/CUGWU,Teamsters,Local 170,Private,,,Worcester,Worcester,Massachusetts,$21.88,42.2511345,-71.823174
College of William & Mary,,,not on site,not on site,not on site,not on site,not on site,not on site,not on site,not on site,https://ucwva.org/william-mary,UCW,,Public,,,Williamsburg,James City,Virginia,$19.40,37.270846000000006,-76.710005
Columbia University,,,3000 (grad/undergrad),not on site,not on site,not on site,not on site,not on site,not on site,2017,studentworkersofcolumbia.com,UAW,Local 2710. columbiagradunion.org now redirects,Private,,,New York City,New York,New York,$21.99,40.807223,-73.9622875
Cornell University,,,not on site,not on site,not on site,not on site,not on site,not on site,not on site,not on site,cornellgradunion.org,unknown,,Private,,,Ithaca,Tompkins,New York,$21.99,42.447684,-76.480715
California State University (CSU),System,x23,"10000 (TAs, GAs, & ISAs across 23 campuses)",2004,not on site,not on site,not on site,not on site,not on site,not on site,uaw4123.org,UAW,Local 4123. Many campuses,Public,,,,San Luis Obispo,California,$21.82,35.349879,-119.10402400000001
"California State University, Bakersfield",CSU,,"10000 (TAs, GAs, & ISAs across 23 campuses)",2004,not on site,not on site,not on site,not on site,not on site,not on site,uaw4123.org,UAW,Local 4123. Many campuses,Public,,,Bakersfield,Kern,California,$21.82,35.349879,-119.10402400000001
California State University Channel Islands,CSU,,"10000 (TAs, GAs, & ISAs across 23 campuses)",2004,not on site,not on site,not on site,not on site,not on site,not on site,uaw4123.org,UAW,Local 4123. Many campuses,Public,,,Camarillo,Ventura,California,$21.82,34.164305999999996,-119.0413125
"California State University, Chico",CSU,,"10000 (TAs, GAs, & ISAs across 23 campuses)",2004,not on site,not on site,not on site,not on site,not on site,not on site,uaw4123.org,UAW,Local 4123. Many campuses,Public,,,Chico,Butte,California,$21.82,39.730658500000004,-121.8472375
"California State University, Dominguez Hills",CSU,,"10000 (TAs, GAs, & ISAs across 23 campuses)",2004,not on site,not on site,not on site,not on site,not on site,not on site,uaw4123.org,UAW,Local 4123. Many campuses,Public,,,Carson,Los Angeles,California,$21.82,33.864397499999995,-118.255111
"California State University, East Bay",CSU,,"10000 (TAs, GAs, & ISAs across 23 campuses)",2004,not on site,not on site,not on site,not on site,not on site,not on site,uaw4123.org,UAW,Local 4123. Many campuses,Public,,,Hayward,Alameda,California,$21.82,37.655547,-122.055876
"California State University, Fresno",CSU,,"10000 (TAs, GAs, & ISAs across 23 campuses)",2004,not on site,not on site,not on site,not on site,not on site,not on site,uaw4123.org,UAW,Local 4123. Many campuses,Public,,,Fresno,Fresno,California,$21.82,36.813169,-119.7478585
"California State University, Fullerton",CSU,,"10000 (TAs, GAs, & ISAs across 23 campuses)",2004,not on site,not on site,not on site,not on site,not on site,not on site,uaw4123.org,UAW,Local 4123. Many campuses,Public,,,Fullerton,Orange,California,$21.82,33.880694,-117.88466149999999
"California Polytechnic State University, Humboldt",CSU,,"10000 (TAs, GAs, & ISAs across 23 campuses)",2004,not on site,not on site,not on site,not on site,not on site,not on site,uaw4123.org,UAW,Local 4123. Many campuses,Public,,,Arcata,San Luis Obispo,California,$21.82,35.300903000000005,-120.659479
"California State University, Long Beach",CSU,,"10000 (TAs, GAs, & ISAs across 23 campuses)",2004,not on site,not on site,not on site,not on site,not on site,not on site,uaw4123.org,UAW,Local 4123. Many campuses,Public,,,Long Beach,Los Angeles,California,$21.82,33.781739,-118.114674
"California State University, Los Angeles",CSU,,"10000 (TAs, GAs, & ISAs across 23 campuses)",2004,not on site,not on site,not on site,not on site,not on site,not on site,uaw4123.org,UAW,Local 4123. Many campuses,Public,,,Los Angeles,Los Angeles,California,$21.82,34.0675,-118.167581
California State University Maritime Academy,CSU,,"10000 (TAs, GAs, & ISAs across 23 campuses)",2004,not on site,not on site,not on site,not on site,not on site,not on site,uaw4123.org,UAW,Local 4123. Many campuses,Public,,,Vallejo,San Mateo,California,$21.82,38.069630000000004,-122.229991
"California State University, Monterey Bay",CSU,,"10000 (TAs, GAs, & ISAs across 23 campuses)",2004,not on site,not on site,not on site,not on site,not on site,not on site,uaw4123.org,UAW,Local 4123. Many campuses,Public,,,Seaside,Monterey,California,$21.82,36.6531365,-121.798341
"California State University, Northridge",CSU,,"10000 (TAs, GAs, & ISAs across 23 campuses)",2004,not on site,not on site,not on site,not on site,not on site,not on site,uaw4123.org,UAW,Local 4123. Many campuses,Public,,,Northridge,Los Angeles,California,$21.82,34.239649,-118.531647
"California Polytechnic State University, Pomona",CSU,,"10000 (TAs, GAs, & ISAs across 23 campuses)",2004,not on site,not on site,not on site,not on site,not on site,not on site,uaw4123.org,UAW,Local 4123. Many campuses,Public,,,Pomona,Los Angeles,California,$21.82,35.300903000000005,-120.659479
"California State University, Sacramento",CSU,,"10000 (TAs, GAs, & ISAs across 23 campuses)",2004,not on site,not on site,not on site,not on site,not on site,not on site,uaw4123.org,UAW,Local 4123. Many campuses,Public,,,Sacramento,Sacramento,California,$21.82,38.561616,-121.422256
"California State University, San Bernardino",CSU,,"10000 (TAs, GAs, & ISAs across 23 campuses)",2004,not on site,not on site,not on site,not on site,not on site,not on site,uaw4123.org,UAW,Local 4123. Many campuses,Public,,,San Bernardino,San Bernardino,California,$21.82,34.1820255,-117.324157
San Diego State University,CSU,,"10000 (TAs, GAs, & ISAs across 23 campuses)",2004,not on site,not on site,not on site,not on site,not on site,not on site,uaw4123.org,UAW,Local 4123. Many campuses,Public,,,San Diego,San Diego,California,$21.82,32.7752265,-117.071346
San Francisco State University,CSU,,"10000 (TAs, GAs, & ISAs across 23 campuses)",2004,not on site,not on site,not on site,not on site,not on site,not on site,uaw4123.org,UAW,Local 4123. Many campuses,Public,,,San Francisco,San Francisco,California,$21.82,37.728582,-122.482306
San José State University,CSU,,"10000 (TAs, GAs, & ISAs across 23 campuses)",2004,not on site,not on site,not on site,not on site,not on site,not on site,uaw4123.org,UAW,Local 4123. Many campuses,Public,,,San José,Santa Clara,California,$21.82,37.335365499999995,-121.8811115
"California Polytechnic State University, San Luis Obispo",CSU,,"10000 (TAs, GAs, & ISAs across 23 campuses)",2004,not on site,not on site,not on site,not on site,not on site,not on site,uaw4123.org,UAW,Local 4123. Many campuses,Public,,,San Luis Obispo,San Luis Obispo,California,$21.82,35.300903000000005,-120.659479
California State University San Marcos,CSU,,"10000 (TAs, GAs, & ISAs across 23 campuses)",2004,not on site,not on site,not on site,not on site,not on site,not on site,uaw4123.org,UAW,Local 4123. Many campuses,Public,,,San Marcos,San Diego,California,$21.82,33.128586999999996,-117.159571
Sonoma State University,CSU,,"10000 (TAs, GAs, & ISAs across 23 campuses)",2004,not on site,not on site,not on site,not on site,not on site,not on site,uaw4123.org,UAW,Local 4123. Many campuses,Public,,,Rohnert Park,Sonoma,California,$21.82,38.338244,-122.67521
"California State University, Stanislaus",CSU,,"10000 (TAs, GAs, & ISAs across 23 campuses)",2004,not on site,not on site,not on site,not on site,not on site,not on site,uaw4123.org,UAW,Local 4123. Many campuses,Public,,,Turlock,Stanislaus,California,$21.82,37.5249565,-120.85607
Dartmouth College,,,not on site,not on site,not on site,not on site,2021,2022,not on site,2023,goldartmouth.org,UE,,Private,,,Hanover,Grafton,New Hampshire,$17.32,43.701188,-72.287934
Duke University,,,not on site,2017,not on site,not on site,2016,not on site,not on site,not on site,dukegradunion.org,SEIU,,Private,,,Durham,Durham,North Carolina,$17.14,36.001218125,-78.93810350000001
Emerson College,,,not on site,not on site,not on site,not on site,not on site,not on site,not on site,not on site,emersoncollegestudentsunion.com,unknown,,Private,,,Boston,Suffolk,Massachusetts,$21.88,42.3520535,-71.06586200000001
Emory University,,,not on site,not on site,not on site,not on site,not on site,2022,not on site,not on site,emoryunite.org,SEIU,,Private,,,Atlanta,Dekalb,Georgia,$17.64,33.768566750000005,-84.38637825
Florida A&M,,,not on site,not on site,not on site,not on site,not on site,not on site,not on site,not on site,https://www.uff-famu-gau.org/,,,Public,,,Tallahassee,Leon,Florida,$17.24,25.746907,-80.352406
Fordham University,,,not on site,not on site,not on site,not on site,not on site,not on site,not on site,not on site,fordhamgraduatestudentworkers.com,CWA,,Private,,,New York City,Bronx,New York,$21.99,40.861041,-73.88549
Georgetown University,,,not on site,2017,not on site,not on site,not on site,not on site,not on site,not on site,wearegage.org,AFT,,Private,,,"Washington, D.C.",District of Columbia,District of Columbia,$23.13,38.911961,-77.078807
Georgia Institute of Technology,,,not on site,2018,not on site,not on site,not on site,not on site,not on site,not on site,ucwga.com/georgia-institute-technology,CWA,Local 3265,Public,,,Atlanta,Fulton,Georgia,$17.64,33.7763205,-84.394711
Grinnell College,,,650,2016,not on site,not on site,not on site,not on site,not on site,not on site,ugsdw.org,,it expanded to be more than just people working in dining hall,Private,,,"Grinnell, Iowa",Poweshiek,Iowa,$16.18,41.7500685,-92.720068
Harvard University,,,not on site,2015,not on site,not on site,not on site,not on site,not on site,2018,harvardgradunion.org,UAW,grad,Private,,,Cambridge,Middlesex,Massachusetts,$21.88,42.3737614375,-71.1181085
Harvard University,,,not on site,2023 (public launch),not on site,not on site,not on site,not on site,not on site,not on site,https://linktr.ee/harvarduwu,,undergrad,Private,,,Cambridge,Middlesex,Massachusetts,$21.88,42.3737614375,-71.1181085
Hofstra University,,,not on site,not on site,not on site,not on site,not on site,not on site,not on site,not on site,none,unknown,"""This new coalition, known as the Hofstra Student Employee Union, plans to pick up where the former student workers coalition left off."" thehofstrachronicle.com/category/news/2022/4/12/hofstra-student-employees-demand-minimum-wage",Private,,,Hempstead,Nassau,New York,$21.99,40.715411,-73.59991500000001
University of Illinois Chicago,,,1500,not on site,not on site,1988,not on site,1997,not on site,not on site,uicgeo.org,IFT/AFT,Used to be uic-geo.net,Public,,,Chicago,Cook,Illinois,$18.16,41.873436,-87.650264
University of Illinois Springfield,,,not on site,not on site,not on site,not on site,not on site,not on site,not on site,not on site,none,,Doesn't seem to be online but referenced here https://www.uis.edu/hr/labor-employee-relations,Public,,,Springfield,Sangamon,Illinois,$18.16,39.728530500000005,-89.61797999999999
University of Illinois Urbana–Champaign,,,2700,1995,unclear,unclear,unclear,unclear,unclear,,uiucgeo.org,IFT/AFT,Local 6300,Public,,,Urbana,Champaign,Illinois,$18.16,40.11054,-88.2269005
Illinois State University,,,not on site,not on site,not on site,not on site,not on site,not on site,not on site,not on site,sites.google.com/view/isu-gwu,SEIU,Local 73,Public,,,Normal,McLean,Illinois,$18.16,40.510963000000004,-88.9928295
Iowa State University,,,not on site,not on site,not on site,not on site,not on site,not on site,not on site,not on site,none,,"""Graduate Student Voices is currently collaborating with one of the largest labor unions in the United States, United Electrical Radio and Machine Workers of America, to build support for a graduate worker union at ISU."" https://iowastatedaily.com/266486/opinion/valuing-graduate-student-workers-starts-with-unionizing/",Public,,,Ames,Story,Iowa,$16.18,42.026508,-93.64733
Indiana University-Bloomington,,,not on site,not on site,not on site,not on site,not on site,not on site,not on site,not on site,indianagradworkers.org,UE,Just the Bloomington campus,Public,,,Bloomington,Monroe,Indiana,$15.79,39.17028,-86.514676
Johns Hopkins University,,,not on site,not on site,not on site,not on site,2014,not on site,not on site,not on site,trujhu.org,UE,,Private,,,Baltimore,Baltimore,Maryland,$19.74,39.328937499999995,-76.6204945
Louisiana State University,,,not on site,not on site,not on site,not on site,2018,not on site,not on site,not on site,ucw-la.org,CWA,Local 3465,Public,,,Baton Rouge,East Baton Rouge Parish,Louisiana,$16.15,30.416954,-91.174945
Loyola University Chicago,,,,,,,,,,,loyolagradunion.wixsite.com/home,unknown,,Private,,,Chicago,Cook,Illinois,$18.16,41.998188,-87.656028
Marquette University,,,,,,,,,,,twitter.com/MarquetteUnion,unknown,used to be https://mawulocal.org,Private,,,Milwaukee,Milwaukee,Wisconsin,$16.40,43.039054,-87.932597
"University of Massachusetts, Amherst",,,,,,,,,,,geouaw.org,UAW,,Public,,,Amherst,Hampshire,Massachusetts,$21.88,42.388894,-72.527413
"University of Massachusetts, Boston",,,,,,,,,,,geoumb.org,UAW,Local 1596,Public,,,Boston,Suffolk,Massachusetts,$21.88,42.314196,-71.038149
Massachusetts Institute of Technology (MIT),,,,,,,,,,,mitgsu.org,UE,,Private,,,Cambridge,Middlesex,Massachusetts,$21.88,42.358984,-71.0935805
"University of Massachusetts, Lowell",,,,,,,,,,,https://sites.google.com/site/geoumasslowell/,UAW,Local 1596,Public,,,Lowell,Middlesex,Massachusetts,$21.88,42.652516500000004,-71.324012
University of Michigan,,,,,,,,,,,geo3550.org,AFT,Local 3550,Public,,,Ann Arbor,Washtenaw,Michigan,$16.36,42.281083,-83.73267
Michigan State University,,,,,,,,,,,geuatmsu.org,AFT,,Public,,,East Lansing,Ingham,Michigan,$16.36,42.7265225,-84.481054
University of Minnesota,System,,,,,,,,,,umnglu.org,UE,,Public,,,,Hennepin,Minnesota,$17.74,44.969408,-93.230152
University of Minnesota Crookston,University of Minnesota,,,,,,,,,,,UE,,,,,Crookston,Polk,Minnesota,$17.74,47.799965,-96.60825700000001
University of Minnesota Duluth,University of Minnesota,,,,,,,,,,,UE,,,,,Duluth,St. Louis,Minnesota,$17.74,46.8190805,-92.08342999999999
