School,Is campus?,Count?,Members,Founded,Created via merge,Foundational org begins,Organizing begins,Authorization card signing begin,Voted to affiliate,NLRB certified,Link,Affiliation,Notes,Type,Latitude (via Mapbox),Longitude (via Mapbox),City (via GPT),County (via GPT),State (via GPT),Living wage (state),Latitude,Longitude
University of Minnesota Morris,University of Minnesota,,,,,,,,,,,UE,,,,,Morris,Stevens,Minnesota,$17.74,45.5896585,-95.901465
University of Minnesota Rochester,University of Minnesota,,,,,,,,,,,UE,,,,,Rochester,Olmsted,Minnesota,$17.74,44.022469,-92.463615
University of Minnesota Twin Cities,University of Minnesota,,,,,,,,,,,UE,,,,,Minneapolis and St. Paul,Hennepin,Minnesota,$17.74,44.991164,-93.224335
University of Nebraska–Lincoln,,,,,,,,,,,twitter.com/UnionizeUnl,unknown,,Public,,,Lincoln,Lancaster,Nebraska,$16.60,40.8178045,-96.702037
New School,,,,,,,,,,,sensuaw.org,UAW,Local 7902,Private,,,New York City,New York,New York,$21.99,40.736586,-73.996482
New York University (NYU),,,,,,,,,,,makingabetternyu.org,UAW,Local 2110 ← same as second columbia?,Private,,,New York City,New York,New York,$21.99,40.729421375,-73.99417925
North Carolina State University,,,,,,,,,,,bit.ly/m/WorkersAtState,UE,Local 150,Public,,,Raleigh,Wake,North Carolina,$17.14,35.7861945,-78.6727755
Northeastern University,,,,,,,,,,,nugradunion.com,UAW,,Private,,,Boston,Suffolk,Massachusetts,$21.88,42.3397355,-71.0883555
Northwestern University,,,,,,,,,,,nugradworkers.org,UE,,Private,,,Evanston,Cook,Illinois,$18.16,42.0530945,-87.6752305
Oregon State University,,,,,,,,,,,cge6069.org,AFT,Local 6059,Public,,,Corvallis,Benton,Oregon,$19.51,44.5643185,-123.27684049999999
Pennsylvania State University,,,,,,,,,,,cgepsu.org,unknown,,Public,,,State College,Centre,Pennsylvania,$16.67,40.797229,-77.870724
Princeton University,,,,,,,,,,,princetongsu.org,UE,,Private,,,"Princeton, NJ",Mercer,New Jersey,$20.57,40.3451335,-74.65832225
Purdue University,,,,,,,,,,,facebook.com/coaltionofgraduateemployeesatpurdueuniversity,unknown,,Public,,,West Lafayette,Tippecanoe,Indiana,$15.79,40.416012,-86.929836
Rensselaer Polytechnic Institute,,,,,,,,,,,linktr.ee/rpi_ra_union,OPEIU,Local 153,Private,,,Troy,Rensselaer,New York,$21.99,42.7300305,-73.67859899999999
Rice University,,,,,,,,,,,,,,Private,,,Houston,Harris,Texas,$16.41,29.717171,-95.4018215
Rutgers University,,,,,,,,,,,https://rutgersaaup.org/graduate-students/,AAUP,AAUP is an affiliate of AFT,Public,,,New Brunswick,Middlesex,New Jersey,$20.57,40.499053,-74.451482
University of Southern California (USC),,,,,,,,,,,gswoc-usc.org,UAW,,Private,,,Los Angeles,Los Angeles,California,$21.82,34.022018,-118.2853775
Southern Illinois University at Carbondale,,,,,,,,,,,gaunited.org,NEA,,Public,,,Carbondale,Jackson,Illinois,$18.16,37.716717,-89.2164
Stanford University,,,,,,,,,,,sgwu.us,UE,,Private,,,Palo Alto,Santa Clara,California,$21.82,37.424892,-122.168986
State University of New York (SUNY),System,,,,,,,,,,cwa1104gseu.com,CWA,across all SUNY. note that there are 64+ campuses?,Public,,,Albany,Albany,New York,$21.99,42.680157,-73.837624
Cornell University College of Agriculture and Life Sciences,State University of New York (SUNY),,,,,,,,,,cwa1104gseu.com,CWA,,,,,,,,,42.4482,-76.4794
Cornell University College of Human Ecology,State University of New York (SUNY),,,,,,,,,,cwa1104gseu.com,CWA,,,,,,,,,42.450434,-76.478729
Cornell University School of Industrial and Labor Relations,State University of New York (SUNY),,,,,,,,,,cwa1104gseu.com,CWA,,,,,,,,,39.278143,-80.581487
Cornell University College of Veterinary Medicine,State University of New York (SUNY),,,,,,,,,,cwa1104gseu.com,CWA,,,,,,,,,42.4456715,-76.47764649999999
NYS College of Ceramics,State University of New York (SUNY),,,,,,,,,,cwa1104gseu.com,CWA,,,,,,,,,42.2533,-77.7876
SUNY College of Environmental Science and Forestry,State University of New York (SUNY),,,,,,,,,,cwa1104gseu.com,CWA,,,,,,,,,43.0349625,-76.135762
College of Optometry,State University of New York (SUNY),,,,,,,,,,cwa1104gseu.com,CWA,,,,,,,,,35.137878,-90.0202625
Downstate Medical Center,State University of New York (SUNY),,,,,,,,,,cwa1104gseu.com,CWA,,,,,,,,,40.6552505,-73.9450875
SUNY Polytechnic Institute,State University of New York (SUNY),,,,,,,,,,cwa1104gseu.com,CWA,,,,,,,,,42.691116,-73.833052
Upstate Medical University,State University of New York (SUNY),,,,,,,,,,cwa1104gseu.com,CWA,,,,,,,,,43.041647,-76.140376
Buffalo State University,State University of New York (SUNY),,,,,,,,,,cwa1104gseu.com,CWA,,,,,,,,,42.93458,-78.883727
Empire State College,State University of New York (SUNY),,,,,,,,,,cwa1104gseu.com,CWA,,,,,,,,,40.785021,-73.579157
Purchase College,State University of New York (SUNY),,,,,,,,,,cwa1104gseu.com,CWA,,,,,,,,,41.0475365,-73.70158850000001
State University of New York at Geneseo,State University of New York (SUNY),,,,,,,,,,cwa1104gseu.com,CWA,,,,,,,,,42.7959745,-77.819731
State University of New York at New Paltz,State University of New York (SUNY),,,,,,,,,,cwa1104gseu.com,CWA,,,,,,,,,41.741721,-74.0833705
State University of New York at Oswego,State University of New York (SUNY),,,,,,,,,,cwa1104gseu.com,CWA,,,,,,,,,43.4506795,-76.54428999999999
State University of New York at Potsdam,State University of New York (SUNY),,,,,,,,,,cwa1104gseu.com,CWA,,,,,,,,,44.662181000000004,-74.9738845
SUNY Oneonta,State University of New York (SUNY),,,,,,,,,,cwa1104gseu.com,CWA,,,,,,,,,42.496814,-75.061212
SUNY Cortland,State University of New York (SUNY),,,,,,,,,,cwa1104gseu.com,CWA,,,,,,,,,42.596903499999996,-76.190024
SUNY Fredonia,State University of New York (SUNY),,,,,,,,,,cwa1104gseu.com,CWA,,,,,,,,,42.453386,-79.336996
SUNY Plattsburgh,State University of New York (SUNY),,,,,,,,,,cwa1104gseu.com,CWA,,,,,,,,,44.693417,-73.46643700000001
State University of New York Brockport,State University of New York (SUNY),,,,,,,,,,cwa1104gseu.com,CWA,,,,,,,,,43.210967,-77.9497255
The College at Old Westbury,State University of New York (SUNY),,,,,,,,,,cwa1104gseu.com,CWA,,,,,,,,,40.811253,-73.604449
Alfred State College,State University of New York (SUNY),,,,,,,,,,cwa1104gseu.com,CWA,,,,,,,,,42.254801,-77.791546
SUNY Farmingdale,State University of New York (SUNY),,,,,,,,,,cwa1104gseu.com,CWA,,,,,,,,,40.752769,-73.4275915
Maritime College,State University of New York (SUNY),,,,,,,,,,cwa1104gseu.com,CWA,,,,,,,,,40.8074,-73.7968
Morrisville State College,State University of New York (SUNY),,,,,,,,,,cwa1104gseu.com,CWA,,,,,,,,,42.893617,-75.640774
SUNY Canton,State University of New York (SUNY),,,,,,,,,,cwa1104gseu.com,CWA,,,,,,,,,44.60368,-75.1837495
SUNY Cobleskill,State University of New York (SUNY),,,,,,,,,,cwa1104gseu.com,CWA,,,,,,,,,42.6724175,-74.4986155
SUNY Delhi,State University of New York (SUNY),,,,,,,,,,cwa1104gseu.com,CWA,,,,,,,,,42.26991,-74.92414
SUNY Albany,State University of New York (SUNY),,,,,,,,,,cwa1104gseu.com,CWA,across all SUNY. note that there are 64+ campuses?,Public,,,Albany,Albany,New York,$21.99,42.684506,-73.823261
SUNY Binghamton,State University of New York (SUNY),,,,,,,,,,cwa1104gseu.com,CWA,across all SUNY. note that there are 64+ campuses?,Public,,,Binghamton,Broome,New York,$21.99,42.0906475,-75.969123
SUNY Stony Brook,State University of New York (SUNY),,,,,,,,,,cwa1104gseu.com,CWA,across all SUNY. note that there are 64+ campuses?,Public,,,Stony Brook,Suffolk,New York,$21.99,40.9132405,-73.1182325
Syracuse University,,,,,,,,,,,syracusegradsunited.org,SEIU,Local 200 United,Private,,,Syracuse,Onondaga,New York,$21.99,43.038514,-76.13476
Temple University,,,,,,,,,,,tugsa.org,AFT,6290,Public,,,Philadelphia,Philadelphia,Pennsylvania,$16.67,39.9808005,-75.155202
University of Texas,System,,,,,,,,,,cwa-tseu.org,CWA,,,,,,Travis,,,30.285167,-97.741487
UT Arlington,University of Texas,,,,,,,,,,cwa-tseu.org,CWA,,,,,,Tarrant,,,32.726317,-97.117807
UT El Paso,University of Texas,,,,,,,,,,cwa-tseu.org,CWA,,,,,,El Paso,,,31.7732,-106.5047
UT Permian Basin,University of Texas,,,,,,,,,,cwa-tseu.org,CWA,,,,,,Ector,,,31.8900875,-102.328946
UT Rio Grande Valley,University of Texas,,,,,,,,,,cwa-tseu.org,CWA,,,,,,Hidalgo,,,40.751744,-111.890019
UT San Antonio,University of Texas,,,,,,,,,,cwa-tseu.org,CWA,,,,,,Bexar,,,29.5831,-98.6199
UT Tyler,University of Texas,,,,,,,,,,cwa-tseu.org,CWA,,,,,,Smith,,,32.3165185,-95.2518715
University of Texas at Austin,University of Texas,,,,,,,,,,cwa-tseu.org,CWA,All public texas universities might be covered. Info: https://thedailytexan.com/2022/05/11/student-workers-consider-joining-a-union/,Public,,,Austin,Travis,Texas,$16.41,30.2853755,-97.735642
University of Texas at Dallas,University of Texas,,,,,,,,,,cwa-tseu.org,CWA,All public texas universities might be covered. Info: https://thedailytexan.com/2022/05/11/student-workers-consider-joining-a-union/,Public,,,Richardson,Dallas,Texas,$16.41,32.985556,-96.750326
University of California,System,,,,,,,,,,uaw2865.org,UAW,,Public,,,,Alameda,California,$21.82,33.981185,-117.332083
"University of California, Berkeley",University of California,,,,,,,,,,uaw2865.org,UAW,,Public,,,Berkeley,Alameda,California,$21.82,37.870482,-122.258521
"University of California, Davis",University of California,,,,,,,,,,uaw2865.org,UAW,,Public,,,Davis,Yolo,California,$21.82,38.539555,-121.75182699999999
"University of California, Los Angeles (UCLA)",University of California,,,,,,,,,,uaw2865.org,UAW,,Public,,,Los Angeles,Los Angeles,California,$21.82,34.070845,-118.44548175
"University of California, Irvine",University of California,,,,,,,,,,uaw2865.org,UAW,,Public,,,Irvine,Orange,California,$21.82,33.641812,-117.832742
"University of California, Merced",University of California,,,,,,,,,,uaw2865.org,UAW,,Public,,,Merced,Merced,California,$21.82,37.364650999999995,-120.4276265
"University of California, Riverside",University of California,,,,,,,,,,uaw2865.org,UAW,,Public,,,Riverside,Riverside,California,$21.82,33.975133,-117.329996
"University of California, San Diego",University of California,,,,,,,,,,uaw2865.org,UAW,,Public,,,La Jolla,San Diego,California,$21.82,32.879793,-117.23892
"University of California, Santa Barbara",University of California,,,,,,,,,,uaw2865.org,UAW,,Public,,,Santa Barbara,Santa Barbara,California,$21.82,34.413272,-119.84887
"University of California, Santa Cruz",University of California,,,,,,,,,,uaw2865.org,UAW,,Public,,,Santa Cruz,Santa Cruz,California,$21.82,36.992476,-122.058858
"University of California, San Francisco",University of California,,,,,,,,,,uaw2865.org,UAW,,Public,,,San Francisco,San Francisco,California,$21.82,37.776259,-122.391729
Tufts University,,,,,,,,,,,no website,SEIU,Local 509,Private,,,Medford,Middlesex,Massachusetts,$21.88,42.406357,-71.120843
Tulane University,,,,,,,,,,,,,,Private,,,New Orleans,Orleans Parish,Louisiana,$16.15,29.938629,-90.1224125
University at Buffalo (SUNY),,,,,,,,,,,ubgseu.com,CWA,,Public,,,Buffalo,Erie,New York,$21.99,43.0008,-78.7890
University of Alabama,,,,,,,,,,,ucwal.org,UCW,multiple campuses,Public,,,Tuscaloosa,Tuscaloosa,Alabama,$15.91,33.2104205,-87.547887
University of Chicago,,,,,,,,,,,uchicagogsu.org,UE,,Private,,,Chicago,Cook,Illinois,$18.16,41.789889,-87.604687
University of Colorado,System,,,,,,,,,,,,,,,,,Boulder,,,40.007546,-105.271634
University of Colorado Anschutz Medical Campus,University of Colorado,,,,,,,,,,ucwcolorado.org,CWA,Local 7799,Public,combined across all campuses,,Aurora,Arapahoe,Colorado,$19.16,39.746907,-104.836993
University of Colorado Boulder,University of Colorado,,,,,,,,,,ucwcolorado.org,CWA,Local 7799,Public,combined across all campuses,,Boulder,Boulder,Colorado,$19.16,40.007045000000005,-105.2676765
University of Colorado Colorado Springs,University of Colorado,,,,,,,,,,ucwcolorado.org,CWA,Local 7799,Public,combined across all campuses,,Colorado Springs,El Paso,Colorado,$19.16,38.892101,-104.7982395
University of Colorado Denver,University of Colorado,,,,,,,,,,ucwcolorado.org,CWA,Local 7799,Public,combined across all campuses,,Denver,Denver,Colorado,$19.16,39.744774500000005,-105.0027
Colorado State University,System,3,,,,,,,,,csugradworkers.org,unknown,,Public,,,Fort Collins,Larimer,Colorado,$19.16,40.57112,-105.087848
Colorado State University in Fort Collins,Colorado State University,,,,,,,,,,,,,,,,,,,,40.57112,-105.087848
Colorado State University Pueblo,Colorado State University,,,,,,,,,,,,,,,,,,,,38.312754,-104.579405
Colorado State University Global,Colorado State University,,,,,,,,,,,,,,,,,,,,40.539002,-105.116162
University of Connecticut,,,,,,,,,,,uconngradunion.org,UAW,,Public,,,Storrs,Hartford,Connecticut,$19,41.807010500000004,-72.2481995
University of Florida,,,,,,,,,,,ufgau.org,AFT,,Public,,,Gainesville,Alachua,Florida,$17.24,29.644242,-82.340993
University of Hawai'i,,,,,,,,,,,academiclaborunited.org,none,Might have multiple campuses,Public,They are voting on ILWU though,,Honolulu,Honolulu,Hawaii,$21.99,21.297422500000003,-157.817621
University of Iowa,,,,,,,,,,,cogs.org,UE,Local 896,Public,,,Iowa City,Johnson,Iowa,$16.18,41.658868999999996,-91.5483845
University of North Carolina (UNC),System,,,,,,,,,,workersunionunc.com,UE,,,,,,Orange,,,34.2265115,-77.8754715
Appalachian State University,University of North Carolina (UNC),,,,,,,,,,workersunionunc.com,UE,,,,,,,,,36.214217500000004,-81.67820850000001
East Carolina University,University of North Carolina (UNC),,,,,,,,,,workersunionunc.com,UE,,,,,,,,,35.604665999999995,-77.36729249999999
Elizabeth City State University,University of North Carolina (UNC),,,,,,,,,,workersunionunc.com,UE,,,,,,,,,36.283787,-76.212275
Fayetteville State University,University of North Carolina (UNC),,,,,,,,,,workersunionunc.com,UE,,,,,,,,,35.075509,-78.892502
North Carolina A&T University,University of North Carolina (UNC),,,,,,,,,,workersunionunc.com,UE,,,,,,,,,36.079564,-79.774458
North Carolina Central University,University of North Carolina (UNC),,,,,,,,,,workersunionunc.com,UE,,,,,,,,,35.973744,-78.897065
North Carolina State University,University of North Carolina (UNC),,,,,,,,,,workersunionunc.com,UE,,,,,,,,,35.7861945,-78.6727755
North Carolina School of Science and Math,University of North Carolina (UNC),,,,,,,,,,workersunionunc.com,UE,,,,,,,,,36.0186495,-78.9209205
University of North Carolina at Asheville,University of North Carolina (UNC),,,,,,,,,,workersunionunc.com,UE,,,,,,,,,35.61634,-82.5663725
University of North Carolina at Charlotte,University of North Carolina (UNC),,,,,,,,,,workersunionunc.com,UE,,,,,,,,,35.3049605,-80.732797
University of North Carolina at Chapel Hill,University of North Carolina (UNC),,,,,,,,,,workersunionunc.com,UE,,,,,,,,,35.907882,-79.0500079375
University of North Carolina at Greensboro,University of North Carolina (UNC),,,,,,,,,,workersunionunc.com,UE,,,,,,,,,36.068495,-79.810993
University of North Carolina at Pembroke,University of North Carolina (UNC),,,,,,,,,,workersunionunc.com,UE,,,,,,,,,34.6890755,-79.2017025
University of North Carolina School of the Arts,University of North Carolina (UNC),,,,,,,,,,workersunionunc.com,UE,,,,,,,,,36.074959,-80.23648349999999
University of North Carolina at Wilmington,University of North Carolina (UNC),,,,,,,,,,workersunionunc.com,UE,,,,,,,,,34.2265115,-77.8754715
Western Carolina University,University of North Carolina (UNC),,,,,,,,,,workersunionunc.com,UE,,,,,,,,,35.310257,-83.1840885
Winston-Salem State University,University of North Carolina (UNC),,,,,,,,,,workersunionunc.com,UE,Local 150,Public,multiple campuses,,Chapel Hill,Orange,North Carolina,$17.14,36.088307,-80.224758
University of Oregon,,,,,,,,,,,gtff3544.net,AFT,Local 3544,Public,,,Eugene,Lane,Oregon,$19.51,44.044819000000004,-123.07493
University of Pennsylvania,,,,,,,,,,,getup-uaw.org,UAW,,Private,,,Philadelphia,Philadelphia,Pennsylvania,$16.67,39.9492625,-75.191259
University of Pittsburgh,,,,,,,,,,,twitter.com/PittGrads,USW,,Public,,,Pittsburgh,Allegheny,Pennsylvania,$16.67,40.443979,-79.9543695
University of Rhode Island,,,,,,,,,,,urigau.org,NEARI,,Public,,,Kingston,Washington,Rhode Island,$17.80,41.482648999999995,-71.52618749999999
University of South Florida,,,,,,,,,,,usfgau.org,unknown,,Public,,,Tampa,Hillsborough,Florida,$17.24,28.065505,-82.413457
University System of Georgia,System,20,,,,,,,,,ucwga.com,UCW,covers 20/26 campuses,Public,,,Athens,Fulton,Georgia,$17.64,33.7539675,-84.386814
Albany State University,University System of Georgia,,,,,,,,,,ucwga.com,UCW,,,,,,,,,31.569158,-84.141954
Augusta University,University System of Georgia,,,,,,,,,,ucwga.com,UCW,,,,,,,,,33.470976,-81.990012
Clayton State University,University System of Georgia,,,,,,,,,,ucwga.com,UCW,,,,,,,,,33.594433,-84.330761
Dalton State College,University System of Georgia,,,,,,,,,,ucwga.com,UCW,,,,,,,,,34.774595500000004,-85.003312
Fort Valley State University,University System of Georgia,,,,,,,,,,ucwga.com,UCW,,,,,,,,,32.537443,-83.896451
Georgia College & State University,University System of Georgia,,,,,,,,,,ucwga.com,UCW,,,,,,,,,33.081455,-83.232352
Georgia Gwinnett College,University System of Georgia,,,,,,,,,,ucwga.com,UCW,,,,,,,,,33.98047,-84.001855
Georgia Highlands College,University System of Georgia,,,,,,,,,,ucwga.com,UCW,,,,,,,,,34.206544,-84.783408
Georgia Institute of Technology,University System of Georgia,,,,,,,,,,ucwga.com,UCW,,,,,,,,,33.7763205,-84.394711
Georgia Southern University,University System of Georgia,,,,,,,,,,ucwga.com,UCW,,,,,,,,,32.42289,-81.779259
Georgia Southwestern State University,University System of Georgia,,,,,,,,,,ucwga.com,UCW,,,,,,,,,32.056247,-84.2176665
Georgia State University,University System of Georgia,,,,,,,,,,ucwga.com,UCW,,,,,,,,,33.7539675,-84.386814
Kennesaw State University,University System of Georgia,,,,,,,,,,ucwga.com,UCW,,,,,,,,,34.03438425,-84.58120925
Middle Georgia State University,University System of Georgia,,,,,,,,,,ucwga.com,UCW,,,,,,,,,32.6166975,-83.6083865
Savannah State University,University System of Georgia,,,,,,,,,,ucwga.com,UCW,,,,,,,,,32.024378,-81.062236
University of Georgia,University System of Georgia,,,,,,,,,,ucwga.com,UCW,,,,,,,,,33.954395000000005,-83.374647
University of North Georgia,University System of Georgia,,,,,,,,,,ucwga.com,UCW,,,,,,,,,34.529227,-83.985016
University of West Georgia,University System of Georgia,,,,,,,,,,ucwga.com,UCW,,,,,,,,,33.572442249999995,-85.10376725
Valdosta State University,University System of Georgia,,,,,,,,,,ucwga.com,UCW,,,,,,,,,30.84742,-83.289884
University System of Tennessee,System,,,,,,,,,,https://ucwtn.org/,UCW,multiple campuses. CWA is parent of UCW,Public,,,Nashville,Davidson,Tennessee,$15.45,36.146879999999996,-86.80421050000001
UT Knoxville,University System of Tennessee,,,,,,,,,,https://ucwtn.org/,UCW,,,,,,Knox,,,35.956695,-83.931785
UT Chattanooga,University System of Tennessee,,,,,,,,,,https://ucwtn.org/,UCW,,,,,,Hamilton,,,35.010845,-85.221966
East Tennessee State University (ETSU),University System of Tennessee,,,,,,,,,,https://ucwtn.org/,UCW,,,,,,Washington,,,36.303511,-82.36827
Middle Tennessee State University (MTSU),University System of Tennessee,,,,,,,,,,https://ucwtn.org/,UCW,,,,,,Rutherford,,,36.176815,-86.760602
Tennessee State University (TSU),University System of Tennessee,,,,,,,,,,https://ucwtn.org/,UCW,,,,,,Davidson,,,36.168164,-86.824395
Austin Peay State University (APSU),University System of Tennessee,,,,,,,,,,https://ucwtn.org/,UCW,,,,,,Montgomery,,,36.536841,-87.350222
Tennessee Tech University (TTU),University System of Tennessee,,,,,,,,,,https://ucwtn.org/,UCW,,,,,,Putnam,,,36.175613999999996,-85.507575
University of Memphis,University System of Tennessee,,,,,,,,,,https://ucwtn.org/,UCW,,,,,,Shelby,,,35.1193385,-89.93734
Lemoyne-Owen College,University System of Tennessee,,,,,,,,,,https://ucwtn.org/,UCW,,,,,,Shelby,,,35.118726,-90.034223
UT Martin,University System of Tennessee,,,,,,,,,,https://ucwtn.org/,UCW,,,,,,Weakley,,,36.341639,-88.862803
University of Utah,,,,,,,,,,,,,,Public,,,Salt Lake City,Salt Lake,Utah,$16.98,40.757559,-111.836463
Vanderbilt University,,,,,,,,,,,vandygwu.com,unknown,,Private,,,Nashville,Davidson,Tennessee,$15.45,36.145224,-86.801362
Virginia Commonwealth University,,,not on site,,not on site,not on site,not on site,not on site,not on site,not on site,ucwva.org/virginia-commonwealth-university,UCW,,Public,,,Richmond,Richmond,Virginia,$19.40,37.548297,-77.452015
University of Washington,,,,,,,,,,,uaw4121.org,UAW,4121,Public,,,Seattle,King,Washington,$18.54,47.654538,-122.3076595
Washington University in St. Louis,,,,,,,,,,,wugwu.org,unknown,,Private,,,St. Louis,St. Louis,Missouri,$16.29,38.646807,-90.310228
Wayne State University,,,,,,,,,,,geocwsu.com,AFT,Local 6123,Public,,,Detroit,Wayne,Michigan,$16.36,42.3568145,-83.0696575
Wesleyan University,,,,,,,,,,,twitter.com/wes_use,unknown,may be just undergrad,Private,,,Middletown,Middlesex,Connecticut,$19,41.5568,-72.6568
Western Michigan University ,,,,,,,,,,,tau.mi.aft.org,AFT,,Public,,,Kalamazoo,Kalamazoo,Michigan,$16.36,42.28482,-85.616619
"University of Wisconsin, Madison",,,,,,,,,,,taa-madison.org,AFT,,Public,,,Madison,Dane,Wisconsin,$16.40,43.071353,-89.407949
"University of Wisconsin, Milkwaukee",,,,,,,,,,,uwmaaup.org,AAUP,,Public,,,Milwaukee,Milwaukee,Wisconsin,$16.40,43.0770915,-87.8816735
Yale University,,,not on site,not on site,not on site,not on site,not on site,not on site,not on site,2023,local33.org,Unite Here,,Private,,,New Haven,New Haven,Connecticut,$19,41.3113795,-72.92584699999999
